% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar)
86%,8. Cultura,83%,Aumento de talleres culturales,"Aumentar la cantidad de talleres culturales impartidos en la comuna, con el fin de crear polos culturales en todos los territorios",95%,"Se cuenta con una programación anual de talleres culturales en todos los territorios, aumentando el número de actividades y de asistentes. Durante 2023 asistieron más de 42.000 vecinos/as a las actividades culturales en terreno y más de 23.000 personas al Centro Cultural.","Elaboración de proyecto ""Territorio artístico"" cuyo objetivo es aumentar los talleres culturales en los territorios",30%,30%,30%,1,8.1,8
86%,8. Cultura,83%,Aumento de talleres culturales,"Aumentar la cantidad de talleres culturales impartidos en la comuna, con el fin de crear polos culturales en todos los territorios",95%,"Se cuenta con una programación anual de talleres culturales en todos los territorios, aumentando el número de actividades y de asistentes. Durante 2023 asistieron más de 42.000 vecinos/as a las actividades culturales en terreno y más de 23.000 personas al Centro Cultural.","Elaboración y difusión de convocatoria abierta, mediante formulario web, para la búsqueda y selección de talleristas",10%,10%,40%,,8.2,8
86%,8. Cultura,83%,Aumento de talleres culturales,"Aumentar la cantidad de talleres culturales impartidos en la comuna, con el fin de crear polos culturales en todos los territorios",95%,"Se cuenta con una programación anual de talleres culturales en todos los territorios, aumentando el número de actividades y de asistentes. Durante 2023 asistieron más de 42.000 vecinos/as a las actividades culturales en terreno y más de 23.000 personas al Centro Cultural.","Planificación y coordinación de los talleres, junto a otros departamentos de la municipalidad que realizan actividades en los territorios (DIDECO, Deportes, CORMU)",10%,10%,50%,,8.3,8
86%,8. Cultura,83%,Aumento de talleres culturales,"Aumentar la cantidad de talleres culturales impartidos en la comuna, con el fin de crear polos culturales en todos los territorios",95%,"Se cuenta con una programación anual de talleres culturales en todos los territorios, aumentando el número de actividades y de asistentes. Durante 2023 asistieron más de 42.000 vecinos/as a las actividades culturales en terreno y más de 23.000 personas al Centro Cultural.",Ejecución de talleres en los territorios,30%,30%,80%,,8.4,8
86%,8. Cultura,83%,Aumento de talleres culturales,"Aumentar la cantidad de talleres culturales impartidos en la comuna, con el fin de crear polos culturales en todos los territorios",95%,"Se cuenta con una programación anual de talleres culturales en todos los territorios, aumentando el número de actividades y de asistentes. Durante 2023 asistieron más de 42.000 vecinos/as a las actividades culturales en terreno y más de 23.000 personas al Centro Cultural.",Cierre de talleres y certificación de participantes,10%,10%,90%,,8.5,8
86%,8. Cultura,83%,Aumento de talleres culturales,"Aumentar la cantidad de talleres culturales impartidos en la comuna, con el fin de crear polos culturales en todos los territorios",95%,"Se cuenta con una programación anual de talleres culturales en todos los territorios, aumentando el número de actividades y de asistentes. Durante 2023 asistieron más de 42.000 vecinos/as a las actividades culturales en terreno y más de 23.000 personas al Centro Cultural.","Evaluación de talleres, audiencias y talleristas",10%,5%,95%,,8.6,8
86%,8. Cultura,83%,Cultura en tu barrio ,"Implementar una estrategia participativa de desarrollo cultural en todos los territorios, impulsando actividades artístico culturales en el Centro Cultural, espacios públicos, establecimientos educacionales y en sedes comunales.",85%,"Se realizan actividades culturales en los distintos territorios: se implementa el plan de estaciones culturales, se realizan talleres culturales; ferias itinerantes; cine al aire libre; entre otros, con la asistencia de más de 42.000 vecinos/as. Se realizan encuentros artísticos como el Festival de las artes, mes del patrimonio, día de la niñez, Fiesta chilenera, festival multicultural, navidad itinerante, entre otros.",Planificación y diseño de la estrategia para el desarrollo de encuentros artísticos territoriales.,10%,10%,10%,1,8.7,8
86%,8. Cultura,83%,Cultura en tu barrio ,"Implementar una estrategia participativa de desarrollo cultural en todos los territorios, impulsando actividades artístico culturales en el Centro Cultural, espacios públicos, establecimientos educacionales y en sedes comunales.",85%,"Se realizan actividades culturales en los distintos territorios: se implementa el plan de estaciones culturales, se realizan talleres culturales; ferias itinerantes; cine al aire libre; entre otros, con la asistencia de más de 42.000 vecinos/as. Se realizan encuentros artísticos como el Festival de las artes, mes del patrimonio, día de la niñez, Fiesta chilenera, festival multicultural, navidad itinerante, entre otros.",Planificación y diseño de la programación cultural en el territorio.,10%,10%,20%,,8.8,8
86%,8. Cultura,83%,Cultura en tu barrio ,"Implementar una estrategia participativa de desarrollo cultural en todos los territorios, impulsando actividades artístico culturales en el Centro Cultural, espacios públicos, establecimientos educacionales y en sedes comunales.",85%,"Se realizan actividades culturales en los distintos territorios: se implementa el plan de estaciones culturales, se realizan talleres culturales; ferias itinerantes; cine al aire libre; entre otros, con la asistencia de más de 42.000 vecinos/as. Se realizan encuentros artísticos como el Festival de las artes, mes del patrimonio, día de la niñez, Fiesta chilenera, festival multicultural, navidad itinerante, entre otros.",Activación de mesas territoriales de acuerdo a la estrategia diseñada.,20%,20%,40%,,8.9,8
86%,8. Cultura,83%,Cultura en tu barrio ,"Implementar una estrategia participativa de desarrollo cultural en todos los territorios, impulsando actividades artístico culturales en el Centro Cultural, espacios públicos, establecimientos educacionales y en sedes comunales.",85%,"Se realizan actividades culturales en los distintos territorios: se implementa el plan de estaciones culturales, se realizan talleres culturales; ferias itinerantes; cine al aire libre; entre otros, con la asistencia de más de 42.000 vecinos/as. Se realizan encuentros artísticos como el Festival de las artes, mes del patrimonio, día de la niñez, Fiesta chilenera, festival multicultural, navidad itinerante, entre otros.",Ejecución de la programación cultural en el territorio.,30%,30%,70%,,8.10,8
