% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,N° de iniciativas,N° >80%,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),>80% (no considerar)
20%,1. Apoyo al Adulto Mayor,31%,"Crear nueva oficina de protección multidisciplinaria de Personas Mayores, con abogados, psicólogos, trabajadores sociales y equipos de salud.",Pendiente,55%,Pendiente,Diseño del Programa de protección multidisciplinaria y establecimiento de metodología y recursos,20%,20%,20%,109,1,1,1.1,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear nueva oficina de protección multidisciplinaria de Personas Mayores, con abogados, psicólogos, trabajadores sociales y equipos de salud.",Pendiente,55%,Pendiente,Definición de líneas de acción de intervención,10%,10%,30%,109,1,,1.2,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear nueva oficina de protección multidisciplinaria de Personas Mayores, con abogados, psicólogos, trabajadores sociales y equipos de salud.",Pendiente,55%,Pendiente,"Contratación de personal para la implementación del Programa: encargada, psicólogo, trabajadora social, abogado y personal de salud",20%,10%,40%,109,1,,1.3,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear nueva oficina de protección multidisciplinaria de Personas Mayores, con abogados, psicólogos, trabajadores sociales y equipos de salud.",Pendiente,55%,Pendiente,Implementación de los servicios de protección multidisciplinaria,30%,15%,55%,109,1,,1.4,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear nueva oficina de protección multidisciplinaria de Personas Mayores, con abogados, psicólogos, trabajadores sociales y equipos de salud.",Pendiente,55%,Pendiente,Aprobación del Programa por el concejo municipal,10%,0%,55%,109,1,,1.5,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear nueva oficina de protección multidisciplinaria de Personas Mayores, con abogados, psicólogos, trabajadores sociales y equipos de salud.",Pendiente,55%,Pendiente,Reconocimiento del programa por parte de SENAMA,10%,0%,55%,109,1,,1.6,1,0
20%,1. Apoyo al Adulto Mayor,31%,Aumentar la cobertura de podología para personas mayores.,Pendiente,25%,Pendiente,Realizar convenios con entidades que impartan la carrera de podología para aumentar la cobertura,10%,10%,10%,109,1,1,1.7,1,0
20%,1. Apoyo al Adulto Mayor,31%,Aumentar la cobertura de podología para personas mayores.,Pendiente,25%,Pendiente,Realizar atención podológica a personas mayores en los centros municipales de atención a personas mayores (zona norte y sur),30%,15%,25%,109,1,,1.8,1,0
20%,1. Apoyo al Adulto Mayor,31%,Aumentar la cobertura de podología para personas mayores.,Pendiente,25%,Pendiente,Habilitar nueva sala podológica en dependencias municipales,20%,0%,25%,109,1,,1.9,1,0
20%,1. Apoyo al Adulto Mayor,31%,Aumentar la cobertura de podología para personas mayores.,Pendiente,25%,Pendiente,Adquirir máquinas y equipos para esterilización de insumos podológicos,20%,0%,25%,109,1,,1.10,1,0
